date,gpu_server,name,latitude,longitude,date,time_start,time_end,no_correct_wear_mask,no_incorrect_wear_mask,no_not_wear_mask,total,percentage
2021-01-15 18:59:15.168346,iApp GPU 1,ตลาดทุ่งครุ,13.7037576,100.4508963,12012021,080000,090000,578,0,12,590,97.96610169491525
2021-01-15 19:16:46.603655,iApp GPU 1,แนวถนนพระราม1-2,13.7458795,100.5320718,12012021,080000,090000,93,1,0,94,98.93617021276596
2021-01-15 20:15:09.617229,iApp GPU 1,แนวถนนราชดำริ1,13.7461059,100.5404026,12012021,080000,090000,36,1,3,40,90.000000000000
2021-01-15 20:23:33.957300,iApp GPU 1,แนวถนนราชดำริ2-1,13.7490615,100.5408839,12,01,2021,202,1,19,222,90.990991
2021-01-15 20:25:15.312859,iApp GPU 1,แนวถนนพระราม1-1,13.7458795,100.5320718,12012021,080000,090000,12,0,1,13,92.3076923076923
2021-01-15 20:57:45.398782,iApp GPU 1,แนวถนนราชดำริ2-2,13.7476166,100.5407992,12,01,2021,122,0,2,124,98.38709677419355
2021-01-15 21:09:53.909248,iApp GPU 1,หน้าองค์การเภสัช1-1,13.7666797,100.5277578,12,01,2021,62,0,2,64,96.875
2021-01-15 22:14:41.169141,iApp GPU 1,แนวถนนราชวิถี1,13.7662817,100.5351334,12,01,2021,5,0,0,5,100.0
2021-01-15 22:17:44.851210,iApp GPU 1,แนวถนนราชวิถี1,13.7662817,100.5351334,12,01,2021,81,0,3,84,96.42857142857143
2021-01-15 22:24:57.822239,iApp GPU 1,แนวถนนพระราม1-1,13.7458795,100.5320718,12012021,080000,090000,41,0,0,41,100.0
2021-01-15 23:04:25.258498,iApp GPU 1,แนวถนนพญาไท1,13.7620258,100.5367703,12012021,080000,090000,172,0,6,178,96.62921348314607
